AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
230,BEED,22,BABAN SAMPAT MANE,Independent,221,0,221,0.09
230,BEED,23,BABASAHEB AABAJI LAMBATE,Independent,950,1,951,0.39
230,BEED,24,BALASAHEB NARAYAN SHINDE,Independent,429,2,431,0.18
230,BEED,25,BHAGWAT HARIHAR TAWARE,Independent,1375,14,1389,0.57
230,BEED,26,MAJAHAR HABIB KHAN,Independent,2004,2,2006,0.83
230,BEED,27,MUKRAMJAN GULMAHAMMAD PATHAN,Independent,130,0,130,0.05
230,BEED,28,SACHIN KISHOR UBALE,Independent,295,4,299,0.12
230,BEED,29,SATISH PADMAKAR KAPSE,Independent,203,1,204,0.08
230,BEED,30,SAJAN RAIS CHAUDHARI,Independent,131,0,131,0.05
230,BEED,31,SADEKH HUSEN MAHOMMAD,Independent,182,1,183,0.08
230,BEED,32,NOTA,None of the Above,603,38,641,0.26
231,ASHTI,1,AJABE BALASAHEB BHAUSAHEB,Nationalist Congress Party,21332,266,21598,7.53
231,ASHTI,2,KAILASH DATTATREYA DAREKAR,Maharashtra Navnirman sena,718,12,730,0.25
231,ASHTI,3,DHAS SURESH RAMCHANDRA,Bharatiya Janata Party,138638,1869,140507,48.99
231,ASHTI,4,PRADEEP NAMDEO CHAVHAN,Bahujan Samaj Party,983,7,990,0.35
231,ASHTI,5,MAHEBUB IBRAHIM SHEKH,Nationalist Congress Party- Sharadchandra Pawar,52037,701,52738,18.39
231,ASHTI,6,AKSHAY SADASHIV ADHAV,Rashtriya Maratha Party,3753,7,3760,1.31
231,ASHTI,7,DILIP MAHADEV MANE,Vanchit Bahujan  Aaghadi,1043,13,1056,0.37
231,ASHTI,8,ADV SHAHADEV JANOO BHANDARE,Vikas India Party,164,1,165,0.06
231,ASHTI,9,UMESH ASHRU KSHIRSAGAR,Independent,119,0,119,0.04
231,ASHTI,10,RISHIKESH LAXMAN VIGHNE,Independent,135,1,136,0.05
231,ASHTI,11,GOKUL BAPURAO SAVASE,Independent,219,1,220,0.08
231,ASHTI,12,CHANGDEO GAUTAM GITE,Independent,231,11,242,0.08
231,ASHTI,13,TUKARAM NANA KALE,Independent,217,0,217,0.08
231,ASHTI,14,DEVIDAS YASHAVANT SHINDE,Independent,425,0,425,0.15
231,ASHTI,15,DEVIDAS GAHININATH JAYBHAYE,Independent,437,0,437,0.15
231,ASHTI,16,BHIMRAO ANANDRAO DHONDE,Independent,60906,1626,62532,21.8
231,ASHTI,17,SANJAY BALABHIM RAKATATE,Independent,359,6,365,0.13
231,ASHTI,18,NOTA,None of the Above,530,17,547,0.19
232,KAIJ,1,ANANT VAIJANATH GAIKWAD,Bahujan Samaj Party,1283,16,1299,0.52
232,KAIJ,2,NAMITA AKSHAY MUNDADA,Bharatiya Janata Party,115699,1382,117081,47.08
232,KAIJ,3,PRUTHVIRAJ SHIVAJI SATHE,Nationalist Congress Party- Sharadchandra Pawar,113004,1390,114394,46
232,KAIJ,4,RAMESH RAGHUNATH GALPHADE,Maharashtra Navnirman sena,1527,10,1537,0.62
232,KAIJ,5,ALKA PRABHAKAR SALUNKE,Tipu Sultan Party,197,0,197,0.08
232,KAIJ,6,ASHOK DHONDIBA SONVANE,Bharatiya Yuva Jan Ekta Party,352,1,353,0.14
232,KAIJ,7,ASHOK BHAGOJI THORAT,Bahujan Maha Party,3557,2,3559,1.43
232,KAIJ,8,ASHOK (DADA) LAXMAN ICHAKE,Rashtriya Maratha Party,139,0,139,0.06
232,KAIJ,9,JEEVAN SHRIPATI GAIKWAD,Maharashtra Swarajya party,159,1,160,0.06
232,KAIJ,10,SHEETAL MAHADEV ROKADE,Rashtriya Samaj Paksha,86,2,88,0.04
232,KAIJ,11,SAHAS PANDHARINATH ADODE,Marathwada Mukti Morcha,75,0,75,0.03
232,KAIJ,12,ASHISH ASHOK BHALERAO,Independent,490,2,492,0.2
232,KAIJ,13,JAYSHRI GORAKH WAGHMARE,Independent,769,1,770,0.31
232,KAIJ,14,DR. MAHAVIR DHARMARAJ SONWANE,Independent,1441,5,1446,0.58
232,KAIJ,15,MILIND DAGADU ACHARYA,Independent,154,3,157,0.06
232,KAIJ,16,LAHU MAHADEV BANSODE,Independent,286,1,287,0.12
232,KAIJ,17,VIJAYKUMAR SUKHADE WAVHAL,Independent,455,4,459,0.18
232,KAIJ,18,ADV. VISHAL GHANSHAM GHOBALE,Independent,464,0,464,0.19
232,KAIJ,19,VAIBHAV VIVEK SWAMI,Independent,2005,2,2007,0.81
232,KAIJ,20,ADV. SHIRISH MILINDRAO KAMBLE,Independent,182,2,184,0.07
232,KAIJ,21,SACHIN BHIMRAO CHAVAN,Independent,162,13,175,0.07
232,KAIJ,22,SATISH SUDAM PAYAL,Independent,961,1,962,0.39
232,KAIJ,23,SANJAY PANDHARINATH SALVE,Independent,743,14,757,0.3
232,KAIJ,24,SANJAY BABURAO HOLKAR,Independent,237,2,239,0.1
232,KAIJ,25,SWAPNIL BABRUVAHAN OVHAL,Independent,728,6,734,0.3
232,KAIJ,26,NOTA,None of the Above,644,18,662,0.27
233,PARLI,1,DHANANJAY PANDITRAO MUNDE,Nationalist Congress Party,193355,1534,194889,75.97
233,PARLI,2,DHONDIRAM LAXMAN UJGARE,Bahujan Samaj Party,1048,16,1064,0.41
233,PARLI,3,RAJESAHEB SHRIKISHAN DESHMUKH,Nationalist Congress Party- Sharadchandra Pawar,54146,519,54665,21.31
233,PARLI,4,KEDARNATH VAIJNATH JADHAV,Peasants And Workers Party of India,338,2,340,0.13
233,PARLI,5,BHAGWAT BABANRAO VAIDYA,Vikas India Party,143,0,143,0.06
233,PARLI,6,SAHAS PANDHARINATH ADODE,Marathwada Mukti Morcha,2571,2,2573,1
233,PARLI,7,ALTAF KHAJAMIYA SYED,Independent,247,1,248,0.1
233,PARLI,8,DAYANAND NARAYAN LANDGE,Independent,805,11,816,0.32
233,PARLI,9,RAJESAHEB ALIAS RAJEBHAU SUBHASH DESHMUKH,Independent,231,4,235,0.09
233,PARLI,10,SHAKER AHMED SHAIKH,Independent,179,1,180,0.07
233,PARLI,11,HIDAYAT SADEKHALI SYED,Independent,484,1,485,0.19
233,PARLI,12,NOTA,None of the Above,905,7,912,0.36
234,LATUR RURAL,1,DHIRAJ VILASRAO DESHMUKH,Indian National Congress,104429,1027,105456,44.79
234,LATUR RURAL,2,RAMESH KASHIRAM KARAD,Bharatiya Janata Party,111183,868,112051,47.59
234,LATUR RURAL,3,SANTOSH GANPATRAO NAGARGOJE,Maharashtra Navnirman sena,3732,36,3768,1.6
234,LATUR RURAL,4,DR. AJANIKAR VIJAY RAGHUNATHRAO,Vanchit Bahujan  Aaghadi,8771,53,8824,3.75
234,LATUR RURAL,5,DR.NITIN WAGHE,Sampoorna Bharat Kranti Party,187,2,189,0.08
234,LATUR RURAL,6,BALKISHAN SHANKAR ADSUL,Rashtriya Samaj Paksha,116,2,118,0.05
234,LATUR RURAL,7,SAMADHAN BALIRAM GORE,Peoples Party of India (Democratic),155,4,159,0.07
234,LATUR RURAL,8,SAMADHAN BHARAT SHINDE,Maharashtra Swarajya party,847,5,852,0.36
234,LATUR RURAL,9,AMAN ISHWAR SURWASE,Independent,68,0,68,0.03
234,LATUR RURAL,10,GADGALE RAJKUMAR MAROTI,Independent,77,0,77,0.03
234,LATUR RURAL,11,ZETE SACHIN VITTHAL,Independent,205,5,210,0.09
234,LATUR RURAL,12,DIPAK RAJABHAU INGALE,Independent,627,6,633,0.27
234,LATUR RURAL,13,NANDKISHOR SHANKARRAO SALUNKE,Independent,123,3,126,0.05
234,LATUR RURAL,14,PANKAJ RAOSAHEB DESHMUKH,Independent,155,0,155,0.07
234,LATUR RURAL,15,BALAJI RAMRAO MORE,Independent,234,0,234,0.1
234,LATUR RURAL,16,BAVANE DR.DATTA,Independent,421,0,421,0.18
234,LATUR RURAL,17,LAXMIKANT MANIKRAO JOGDAND,Independent,928,0,928,0.39
234,LATUR RURAL,18,SUMITRABAI ALIAS SWATI VIKRAM JADHAV PATIL,Independent,698,0,698,0.3
234,LATUR RURAL,19,NOTA,None of the Above,476,7,483,0.21
235,LATUR CITY,1,AMIT VILASRAO DESHMUKH,Indian National Congress,112618,1492,114110,45.08
235,LATUR CITY,2,DR. ARHCHANA PATIL CHAKURKAR,Bharatiya Janata Party,105545,1167,106712,42.16
235,LATUR CITY,3,SIDDHARTH MAHADEV SURYAWANSHI,Bahujan Samaj Party,497,9,506,0.2
235,LATUR CITY,4,ANIL GOROBA GAIKWAD,Republican Party of India (A),133,1,134,0.05
235,LATUR CITY,5,GAUSODIN USMAN SHAIKH,Swarajya Shakti Sena,152,0,152,0.06
235,LATUR CITY,6,GHONE NARASHINHA PANDURANG,Nirbhay Maharashtra Party,356,2,358,0.14
235,LATUR CITY,7,PANKAJ JAISWAL,Peoples Party of India (Democratic),106,3,109,0.04
235,LATUR CITY,8,BHASKAR DATTATRAYA BANDEWAR,Bahujan Bharat Party,104,0,104,0.04
235,LATUR CITY,9,RAVSAHEB SIDRAM KARPE,Rashtriya Samaj Paksha,202,0,202,0.08
235,LATUR CITY,10,VINOD SOMPRAKASH KHATKE,Vanchit Bahujan  Aaghadi,26357,259,26616,10.51
235,LATUR CITY,11,SATISH RAJENDRA KARANDE,Maharashtra Swarajya party,196,0,196,0.08
235,LATUR CITY,12,SANTOSH SAMBHAJI SABDE,Jai Hind Jai Bharat Rashtriya Party,66,1,67,0.03
235,LATUR CITY,13,AKHTARAMIYA JALAL SHAIKH,Independent,1042,15,1057,0.42
235,LATUR CITY,14,ANAND ANKUSH LAMTURE,Independent,130,2,132,0.05
235,LATUR CITY,15,ASHWIN SUBHASHRAO NALBALE,Independent,395,1,396,0.16
235,LATUR CITY,16,ILAHI BASHIRSAB SHAIKH,Independent,458,0,458,0.18
235,LATUR CITY,17,NAUSHAD IKABAL SHAIKH,Independent,475,0,475,0.19
235,LATUR CITY,18,PRAVIN MANIKRAO MANE,Independent,300,1,301,0.12
235,LATUR CITY,19,PRASAD SIDRAM KOLI,Independent,175,2,177,0.07
235,LATUR CITY,20,BABASAHEB GOROBA SITAPURE,Independent,39,0,39,0.02
235,LATUR CITY,21,MANGESH NAGNATH ELEKAR,Independent,53,0,53,0.02
235,LATUR CITY,22,RAJIV OR RAJKUMAR DAMODHARRAO PATIL,Independent,83,0,83,0.03
235,LATUR CITY,23,LAXMIKANT MANIKRAO JOGDAND,Independent,56,0,56,0.02
235,LATUR CITY,24,NOTA,None of the Above,625,17,642,0.25
236,AHMADPUR,1,ADV. GAIKWAD RAMESH SHRIRANGRAO,Bahujan Samaj Party,829,31,860,0.36
236,AHMADPUR,2,JADHAV PATIL VINAYAKRAO  KISHANRAO,Nationalist Congress Party- Sharadchandra Pawar,64092,1144,65236,26.99
236,AHMADPUR,3,DR. NARSINHA UDHAVRAO BHIKANE,Maharashtra Navnirman sena,1111,21,1132,0.47
236,AHMADPUR,4,BABASAHEB MOHANRAO PATIL,Nationalist Congress Party,95777,1128,96905,40.09
236,AHMADPUR,5,GANESH NAMDEVRAO HAKE,Jan Surajya Shakti,61290,1157,62447,25.83
236,AHMADPUR,6,GIRJAPPA KASHINATH BAIKARE,Maharashtra Vikas Aghadi,1029,18,1047,0.43
236,AHMADPUR,7,JADHAV VINAYAK SONBA,Rashtriya Maratha Party,3896,21,3917,1.62
236,AHMADPUR,8,DHIRAJ MADHUKAR KAMBLE,Sainik Samaj Party,209,7,216,0.09
236,AHMADPUR,9,ADV. RIYAZ AHMED NISAR AHMED SIDDIQUI,Janhit Lokshahi Party,438,4,442,0.18
236,AHMADPUR,10,WAGALGAVE RAOSAHEB NIVARTIRAO,Bahujan Vikas Aaghadi,248,1,249,0.1
236,AHMADPUR,11,UTTAM CHANDRAKANT WAGH,Independent,718,7,725,0.3
236,AHMADPUR,12,ADV. EKNATH DNYANOBA GAJILE,Independent,319,4,323,0.13
236,AHMADPUR,13,KADAM PUNDLIK VITTHAL,Independent,441,2,443,0.18
236,AHMADPUR,14,JADHAV GANESH DAULATRAO,Independent,168,0,168,0.07
236,AHMADPUR,15,DEEPAK ARJUN KAMBLE,Independent,308,3,311,0.13
236,AHMADPUR,16,BALAJI RAMCHANDRA PATIL CHAKURKAR,Independent,2974,45,3019,1.25
236,AHMADPUR,17,MAHADEV NAGORAO BHANDARE,Independent,243,0,243,0.1
236,AHMADPUR,18,MADHAV RANGNATH JADHAV,Independent,2546,51,2597,1.07
236,AHMADPUR,19,VISHAL SHIVHAR BALKUNDE,Independent,162,0,162,0.07
236,AHMADPUR,20,SANJEEV RAM CHANNAGIRE,Independent,464,0,464,0.19
236,AHMADPUR,21,NOTA,None of the Above,812,22,834,0.34
237,UDGIR,1,DIPAK ASHOK SAWANT,Bahujan Samaj Party,468,12,480,0.22
237,UDGIR,2,SUDHAKAR SANGRAM BHALERAO,Nationalist Congress Party- Sharadchandra Pawar,57705,1119,58824,26.69
237,UDGIR,3,SANJAY BABURAO BANSODE,Nationalist Congress Party,149766,2272,152038,68.97
237,UDGIR,4,BHASKAR DATTATRAYA BANDEWAR,Bahujan Bharat Party,4598,24,4622,2.1
237,UDGIR,5,PRO.DR. SHIVAJI MAREPPA DEVNALE,Vanchit Bahujan  Aaghadi,884,19,903,0.41
237,UDGIR,6,AJAY PIRAJI KAMBLE,Independent,156,2,158,0.07
237,UDGIR,7,ADV.GURUDEV NARSING SURYWANSHI,Independent,408,2,410,0.19
237,UDGIR,8,PRABHAKAR KERBA KAMBLE,Independent,309,1,310,0.14
237,UDGIR,9,BALAJI KISHANRAO SURYAWANSHI,Independent,224,3,227,0.1
237,UDGIR,10,BALAJI KESHAV KAMBLE,Independent,156,3,159,0.07
237,UDGIR,11,BALAJI RAMRAO MORE,Independent,364,1,365,0.17
237,UDGIR,12,AD. YOGESH NARSINGRAO UDGIRKAR,Independent,472,10,482,0.22
237,UDGIR,13,SWAPNIL ANIL JADHAV,Independent,461,5,466,0.21
237,UDGIR,14,NOTA,None of the Above,978,13,991,0.45
238,NILANGA,1,ABHAY SATISH SALUNKE,Indian National Congress,97225,1403,98628,44.63
238,NILANGA,2,KAMBLE DNYANESHWAR SADHU,Bahujan Samaj Party,804,8,812,0.37
238,NILANGA,3,NILANGEKAR SAMBHAJI DILIPRAO PATIL,Bharatiya Janata Party,111056,1312,112368,50.85
238,NILANGA,4,AKASH PRAKASH PATIL,Rashtriya Maratha Party,979,5,984,0.45
238,NILANGA,5,NAGNATH RAMRAO BODAKE,Rashtriya Samaj Paksha,1388,42,1430,0.65
238,NILANGA,6,MANJU HIRALAL NIMBALKAR,Vanchit Bahujan  Aaghadi,3893,42,3935,1.78
238,NILANGA,7,HANMANT DHANURE,Prahar Janshakti Party,430,6,436,0.2
238,NILANGA,8,ANWAR HUSEN MAINODDIN SAYYAD,Independent,79,4,83,0.04
238,NILANGA,9,DATTATRAY BHANUDAS SURYAWANSHI,Independent,186,0,186,0.08
238,NILANGA,10,DATTATRAY VISHWANATH SURYAWANSHI,Independent,103,7,110,0.05
238,NILANGA,11,NILKANTH GOVINDRAO BIRADAR,Independent,198,0,198,0.09
238,NILANGA,12,FAYAJMIYAN PASHAMIYAN SHAIKH,Independent,603,0,603,0.27
238,NILANGA,13,MAHEBUB PASHA KHURSHID AHMAD MULLA,Independent,294,0,294,0.13
238,NILANGA,14,NOTA,None of the Above,915,16,931,0.42
239,AUSA,1,PROF.DR.ANIL SUGRIV KAMBLE,Bahujan Samaj Party,977,15,992,0.47
239,AUSA,2,ABHIMANYU DATTATRAY PAWAR,Bharatiya Janata Party,114294,1296,115590,54.7
239,AUSA,3,DINKAR BABURAO MANE,Shiv Sena (Uddhav Balasaheb Thackeray),81026,1102,82128,38.87
239,AUSA,4,NAGRALE SHIVKUMAR GANGADHAR,Maharashtra Navnirman sena,1525,16,1541,0.73
239,AUSA,5,ANIL SHIVAJI JADHAV,Janhit Lokshahi Party,451,10,461,0.22
239,AUSA,6,AKASH MAHADEV PUJARI,New Rashtriya Samaj Party,355,0,355,0.17
239,AUSA,7,JYOTIRAM GULAB SHINDE,Nirbhay Maharashtra Party,382,0,382,0.18
239,AUSA,8,NAUSHAD IKABAL SHAIKH,Swarajya Shakti Sena,321,0,321,0.15
239,AUSA,9,SHAM CHANDRAKANT GORE,Rashtriya Samaj Paksha,725,6,731,0.35
239,AUSA,10,BHAI SHIVAJI BABURAO SURWASE,Peasants And Workers Party of India,135,0,135,0.06
239,AUSA,11,UTTAM SADASHIV GHODKE,Independent,168,2,170,0.08
239,AUSA,12,DAGDOO VASANT MANE,Independent,200,4,204,0.1
239,AUSA,13,NARSHING DILIP JADHAV,Independent,992,0,992,0.47
239,AUSA,14,NAGANATH GYANU MUGALE,Independent,488,0,488,0.23
239,AUSA,15,NITIN UTTRESHWAR PAWAR,Independent,518,0,518,0.25
239,AUSA,16,MANOHAR ANANDRAO PATIL,Independent,579,0,579,0.27
239,AUSA,17,RAJENDRA PANDU MORE,Independent,201,0,201,0.1
239,AUSA,18,SHIVAJI KERRAPPA KUMBHAR,Independent,4124,23,4147,1.96
239,AUSA,19,HANMANT VENKAT KARLE,Independent,878,3,881,0.42
239,AUSA,20,NOTA,None of the Above,491,6,497,0.24
240,UMARGA,1,CHOUGULE DNYANRAJ DHONDIRAM,Shiv Sena,91142,1099,92241,46.64
240,UMARGA,2,PRAVIN VIRBHADRAYYA SWAMI (SIR),Shiv Sena (Uddhav Balasaheb Thackeray),94550,1656,96206,48.64
240,UMARGA,3,SUNANDA SHANKAR RASAL,Bahujan Samaj Party,1168,8,1176,0.59
240,UMARGA,4,RAM SAIDA GAIKWAD,Vanchit Bahujan  Aaghadi,4018,69,4087,2.07
240,UMARGA,5,SHIVPRASAD LAXMANRAO KAJALE,Marathwada Mukti Morcha,261,4,265,0.13
240,UMARGA,6,SATLING SAMLING SWAMI,Prahar Janshakti Party,399,9,408,0.21
240,UMARGA,7,SANDEEP DHARMA KATABU,Republican Party of India (A),358,5,363,0.18
240,UMARGA,8,AJAYKUMAR VISHNU DEDE,Independent,533,6,539,0.27
240,UMARGA,9,UMAJI PANDURANG GAIKWAD,Independent,311,2,313,0.16
240,UMARGA,10,SHRIRANG KERNATH SARWADE,Independent,841,4,845,0.43
240,UMARGA,11,NOTA,None of the Above,1315,15,1330,0.67
241,TULJAPUR,1,KULDEEP DHIRAJ APPASAHEB KADAM PATIL,Indian National Congress,93842,1142,94984,36.6
241,TULJAPUR,2,RANAJAGJITSINHA PADMASINHA PATIL,Bharatiya Janata Party,130352,1511,131863,50.82
241,TULJAPUR,3,ANNASAHEB RAGHUNATH DARADE,Prahar Janshakti Party,1420,18,1438,0.55
241,TULJAPUR,4,TAMBOLI SHABBIR SALLAUDDIN,All India Majlis-E-Inquilab-E-Millat,247,2,249,0.1
241,TULJAPUR,5,DHANANJAY MURLIDHAR TARKASE PATIL,Rashtriya Samaj Paksha,239,2,241,0.09
241,TULJAPUR,6,DHIRAJ PANDIT PATIL,Aadarsh Sangram Party,178,9,187,0.07
241,TULJAPUR,7,BHAIYYASAHEB PRALHAD NAGTILE,Aazad Samaj Party (Kanshi Ram),786,6,792,0.31
241,TULJAPUR,8,ROCHKARI DEVANAND SAHEBRAO,Samajwadi Party,16271,64,16335,6.3
241,TULJAPUR,9,SHARAD HARIDAS PAWAR,Sambhaji Brigade Party,233,5,238,0.09
241,TULJAPUR,10,SACHIN SURESH SHENDAGE,Janhit Lokshahi Party,169,1,170,0.07
241,TULJAPUR,11,DR.SNEHA APPARAO SONKATE,Vanchit Bahujan  Aaghadi,7792,116,7908,3.05
241,TULJAPUR,12,AMIR IBRAHIM SHAIKH,Independent,252,1,253,0.1
241,TULJAPUR,13,AMER SARDAR SHAIKH,Independent,163,2,165,0.06
241,TULJAPUR,14,UJJWALA VINOD GATE,Independent,314,3,317,0.12
241,TULJAPUR,15,KAKASAHEB BABURAO RATHOD,Independent,417,1,418,0.16
241,TULJAPUR,16,KEDAR YOGESH SHANKAR,Independent,544,5,549,0.21
241,TULJAPUR,17,TATYA PANDHARINATH RODE,Independent,599,1,600,0.23
241,TULJAPUR,18,DATTATRAYA DEVIDAS KADAM,Independent,741,3,744,0.29
241,TULJAPUR,19,DHANAJI GAUTAM HUMBE,Independent,153,0,153,0.06
241,TULJAPUR,20,ADV. POOJA BIBHISHAN DEDE,Independent,374,5,379,0.15
241,TULJAPUR,21,MANSUR AHEMAD MAKSUD SHAIKH,Independent,114,0,114,0.04
241,TULJAPUR,22,ROCHKARI GANESH DEVANAND,Independent,152,3,155,0.06
241,TULJAPUR,23,SATYAWAN NAGNATH SURWASE,Independent,464,4,468,0.18
241,TULJAPUR,24,NOTA,None of the Above,745,24,769,0.3
242,OSMANABAD,1,AJIT BAPPASAHEB PINGLE,Shiv Sena,92816,1191,94007,38.69
242,OSMANABAD,2,KAILAS BALASAHEB GHADGE PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),127928,2645,130573,53.73
242,OSMANABAD,3,DEODATTA BHAGWAT MORE,Maharashtra Navnirman sena,2012,30,2042,0.84
242,OSMANABAD,4,LAHU RAGHUNATH KHUNE,Bahujan Samaj Party,585,10,595,0.24
242,OSMANABAD,5,PRANIT SHAMRAO DIKALE,Vanchit Bahujan  Aaghadi,9977,140,10117,4.16
242,OSMANABAD,6,DR RAMESH SUBRAO BANSODE,Bhartiya Jan Vikas Aaghadi,275,8,283,0.12
242,OSMANABAD,7,SHRIHARI VASANT MALI,Rashtriya Samaj Paksha,1370,70,1440,0.59
242,OSMANABAD,8,SIRAJ ALIAS PAPA  FATRUDDIN SAYYAD,Tipu Sultan Party,502,9,511,0.21
242,OSMANABAD,9,ASHOK ANANT KASBE,Independent,422,4,426,0.18
242,OSMANABAD,10,DATTA MOHAN TUPE,Independent,237,3,240,0.1
242,OSMANABAD,11,NITIN GAJENDR KALE,Independent,600,3,603,0.25
242,OSMANABAD,12,VIKRAM RAGHU KALE,Independent,577,0,577,0.24
242,OSMANABAD,13,NOTA,None of the Above,1539,42,1581,0.65
243,PARANDA,1,PROF.DR.TANAJI JAYAWANT SAWANT,Shiv Sena,102195,1059,103254,44.18
243,PARANDA,2,MAHADEO SHANKAR LOKHANDE,Bahujan Samaj Party,851,5,856,0.37
243,PARANDA,3,RAJENDRA BABASAHEB GAPAT,Maharashtra Navnirman sena,832,11,843,0.36
243,PARANDA,4,RAHUL MAHARUDRA MOTE,Nationalist Congress Party- Sharadchandra Pawar,100330,1415,101745,43.53
243,PARANDA,5,ARYANRAJE KISANRAO SHINDE,Rashtriya Samaj Dal (R),601,1,602,0.26
243,PARANDA,6,PRAVIN PARMESHWAR RANBAGUL,Vanchit Bahujan  Aaghadi,12528,170,12698,5.43
243,PARANDA,7,DR.RAHUL BHIMRAO GHULE,Rashtriya Samaj Paksha,2140,30,2170,0.93
243,PARANDA,8,ADV.REVAN VISHWANATH BHOSALE,Samajwadi Party,166,1,167,0.07
243,PARANDA,9,SHAHAJAHAN PAIGAMBAR SHAIKH,Bahujan Maha Party,116,1,117,0.05
243,PARANDA,10,ARUN SHIVLING JADHAVAR,Independent,350,1,351,0.15
243,PARANDA,11,ASIF LAYAKALI JAMADAR,Independent,321,2,323,0.14
243,PARANDA,12,GURUDAS SAMBHAJI KAMBALE,Independent,468,4,472,0.2
243,PARANDA,13,JAMEELKHA MAHEBUB PATHAN,Independent,4433,13,4446,1.9
243,PARANDA,14,DINESH ROHIDAS MANGALE,Independent,234,2,236,0.1
243,PARANDA,15,DESHMUKH VINAYRAJ VISHWASRAO,Independent,132,0,132,0.06
243,PARANDA,16,NURJAHA SOHEL SHAIKH,Independent,692,2,694,0.3
243,PARANDA,17,BANDU SHEKU POL,Independent,787,0,787,0.34
243,PARANDA,18,RAHUL RAMHARI MOTE,Independent,885,5,890,0.38
243,PARANDA,19,LAXMIKANT SHRIPATI ATULE,Independent,1254,0,1254,0.54
243,PARANDA,20,SOMNATH SOPAN KADAM,Independent,856,2,858,0.37
243,PARANDA,21,SAMBHAJI NANASAHEB SHINDE,Independent,132,0,132,0.06
243,PARANDA,22,NOTA,None of the Above,672,16,688,0.29
244,KARMALA,1,DIGVIJAY DIGAMBARRAO BAGAL,Shiv Sena,40591,243,40834,17.65
244,KARMALA,2,NARAYAN (ABA) GOVINDRAO PATIL,Nationalist Congress Party- Sharadchandra Pawar,95106,985,96091,41.54
244,KARMALA,3,SANJAY VAMAN SHINDE,Bahujan Samaj Party,1515,10,1525,0.66
244,KARMALA,4,ASHOK DNYANADEV WAGHMODE,New Rashtriya Samaj Party,3957,5,3962,1.71
244,KARMALA,5,AVACHAR ABHIMANYU KISAN,Independent,429,1,430,0.19
244,KARMALA,6,ADV JAMEER KALANDAR SHAIKH,Independent,218,0,218,0.09
244,KARMALA,7,JALINDAR VALMIK KAMBLE,Independent,216,0,216,0.09
244,KARMALA,8,DHIRAJ MANIK KOLEKAR,Independent,127,3,130,0.06
244,KARMALA,9,BHANAVASE GANESH ABHIMAN,Independent,82,0,82,0.04
244,KARMALA,10,MADHUKAR GANPAT MISAL,Independent,130,2,132,0.06
244,KARMALA,11,RAMDAS MADHUKAR ZOL,Independent,4763,28,4791,2.07
244,KARMALA,12,WAGHMARE SIDDHANT SADASHIV,Independent,583,2,585,0.25
244,KARMALA,13,VINOD DILIP SITAPURE,Independent,684,0,684,0.3
244,KARMALA,14,SHINDE SANJAYMAMA VITHALRAO,Independent,79366,640,80006,34.59
244,KARMALA,15,SHINDE SANJAY LIMBARAJ,Independent,629,0,629,0.27
244,KARMALA,16,NOTA,None of the Above,981,14,995,0.43
245,MADHA,1,ABHIJIT DHANWANT PATIL,Bahujan Samaj Party,1021,6,1027,0.38
245,MADHA,2,ABHIJEET DHANANJAY PATIL,Nationalist Congress Party- Sharadchandra Pawar,135418,1141,136559,50.73
245,MADHA,3,ADV. MINALTAI DADASAHEB SATHE,Nationalist Congress Party,13280,101,13381,4.97
245,MADHA,4,RAHUL GAUTAM CHAVAN,Vanchit Bahujan  Aaghadi,2219,12,2231,0.83
245,MADHA,5,ABHIJIT ANNASAHEB PATIL,Independent,817,4,821,0.3
245,MADHA,6,ABHIJIT TULSHIRAM PATIL,Independent,571,1,572,0.21
245,MADHA,7,ADV. TUKARAM BALIRAM RAUT,Independent,179,2,181,0.07
245,MADHA,8,MAYUR AJINATH KALE,Independent,196,2,198,0.07
245,MADHA,9,MAHESH BALU BISKITE,Independent,448,1,449,0.17
245,MADHA,10,RANJIT BABANRAO SHINDE,Independent,105047,891,105938,39.35
245,MADHA,11,RANJIT BHAIYA SHINDE,Independent,1432,4,1436,0.53
245,MADHA,12,RAJESH TANAJI KHARE,Independent,4739,2,4741,1.76
245,MADHA,13,SITARAM VITTHAL RANDIVE,Independent,735,1,736,0.27
245,MADHA,14,NOTA,None of the Above,919,5,924,0.34
246,BARSHI,1,KAMBLE MANOJ MAHADEV,Bahujan Samaj Party,629,8,637,0.25
246,BARSHI,2,DILIP GANGADHAR SOPAL,Shiv Sena (Uddhav Balasaheb Thackeray),120701,1993,122694,49.07
246,BARSHI,3,RAJENDRA VITTHAL RAUT,Shiv Sena,114973,1249,116222,46.48
246,BARSHI,4,ANAND NAGNATH YADAV,Maharashtra Rajya Samiti,1740,1,1741,0.7
246,BARSHI,5,KISHOR PARMESHWAR GADEKAR,Rashtriya Samaj Paksha,271,3,274,0.11
246,BARSHI,6,DHANANJAY ANANDRAO JAGADALE,Vanchit Bahujan  Aaghadi,1226,18,1244,0.5
246,BARSHI,7,ABBAS AHAMAD SHAIKH,Independent,97,0,97,0.04
246,BARSHI,8,AKASH PANDURANG DALAVI,Independent,479,5,484,0.19
246,BARSHI,9,ISMAIL USMAN PATEL,Independent,88,0,88,0.04
